latitude,longitude
20.26071498,75.98738871
20.26319186,76.05557477
20.26071498,75.98738871
20.07441205,75.93766193
20.26071498,75.98738871
20.07441205,75.93766193
20.26071498,75.98738871
0,0
0,0
20.26071498,75.98738871
22.57992262,88.3360623
22.470073,88.093749
22.61461796,88.34640783
22.560341,88.303962
24.9953,88.138
26.2546438,88.1974148
22.61056304,88.34632703
25.6098963,88.132494
25.6355626,88.3287896
22.51023288,88.18331477
22.636867,88.340628
11.656607,78.153942
26.841944,89.385028
11.596703,78.601127
11.7958241,77.7989155
11.742972,78.04808
11.503967,78.644106
11.4782504,77.873497
11.78083691,78.21370304
11.567149,78.010976
11.69932543,77.88073629
22.3278258,87.3146684
22.6571758,87.7376994
22.420854,87.321791
19.2417812,73.1247103
0,0
19.231524,73.136436
19.2967434,73.2041626
19.2274572,73.1239121
11.065139,77.351398
11.157401,76.927852
11.044606,76.941327
22.969457,86.847991
16.9199772,74.6133346
16.9243651,74.5844061
16.9080429,74.5961207
16.9080429,74.5961207
16.91919977,74.6133346
16.9199772,74.6133346
16.9348395,74.6649277
16.919607,74.6722459
16.9348395,74.6649277
16.8723469,74.619751
23.134919,79.655059
9.0361731,77.2713511
8.960032,77.313717
15.3738,76.5706
15.2812,76.4265
26.423917,89.36155
12.4151,77.5529
12.418826,77.600935
12.418826,77.600935
12.614587,77.467964
21.4551,76.4447
12.2522,79.4198
11.5668,76.6385
11.493713,76.499823
11.527278,76.360792
11.73729,78.95936
11.4979,76.4951
12.1972,79.9494
9.312937,77.554765
11.887335,78.913503
9.181356,77.506557
9.1676,77.5356
8.9702,77.3036
11.97003,79.206187
11.692728,79.285951
12.21311,79.692285
8.2632302,77.609652
12.192497,79.840879
8.204569,77.575554
8.79479,78.146632
8.780879,78.154255
8.814908,78.161963
8.790759,78.123473
8.800715,78.097404
8.15829,77.61638
9.217332,77.786687
13.54021,80.073504
13.362126,80.149842
20.55321,78.841449
9.217468,77.786563
8.712357,77.422862
9.19841,77.842499
8.732535,77.421428
13.486012,80.152169
8.704376,77.449593
11.517073,78.08947
9.193827,77.819314
9.190591,77.778439
13.054656,79.958828
13.385268,80.217887
13.324616,79.421808
13.205699,80.120345
9.029703,77.334569
9.6398,77.6354
8.708153,77.718874
8.703156,77.713953
9.533126,77.650646
8.548605,77.591799
10.343344,78.016629
8.9723,77.2469
10.388227,78.014202
10.576635,77.989132
10.621455,78.120637
8.725582,77.706751
8.743448,77.661603
